date,category,product,region,quantity,unit_price,amount,customer_id,status,rating
2024-06-10,Accessories,Webcam HD,West,10,79.99,799.90,C012,completed,4.1
2024-06-13,Electronics,Wireless Mouse,North,20,29.99,599.80,C013,completed,4.3
2024-06-16,Office,Standing Desk,South,2,599.99,1199.98,C014,completed,4.8
2024-06-19,Software,Cloud Suite,East,35,19.99,699.65,C015,completed,4.6
2024-06-22,Electronics,Tablet Air,West,6,649.99,3899.94,C016,completed,4.5
2024-06-25,Accessories,Keyboard Mech,North,7,89.99,629.93,C017,completed,4.7
2024-06-28,Electronics,Laptop Pro,South,3,1349.99,4049.97,C018,completed,4.9
2024-07-01,Office,Ergonomic Chair,East,5,399.99,1999.95,C019,completed,4.8
2024-07-04,Electronics,Monitor 4K,West,4,479.99,1919.96,C020,completed,4.6
2024-07-07,Software,Design Tool,North,18,39.99,719.82,C001,completed,4.4
2024-07-10,Accessories,USB-C Hub,South,20,49.99,999.80,C002,completed,4.2
2024-07-13,Electronics,Wireless Mouse,East,12,29.99,359.88,C003,completed,4.1
2024-07-16,Office,Standing Desk,West,4,599.99,2399.96,C004,completed,4.9
2024-07-19,Electronics,Tablet Air,North,5,649.99,3249.95,C005,completed,4.6
2024-07-22,Accessories,Webcam HD,South,8,79.99,639.92,C006,pending,3.9
2024-07-25,Software,Cloud Suite,East,40,19.99,799.60,C007,completed,4.5
2024-07-28,Electronics,Laptop Pro,West,4,1349.99,5399.96,C008,completed,4.8
2024-07-31,Office,Whiteboard,North,6,149.99,899.94,C009,completed,4.3
2024-08-03,Electronics,Monitor 4K,South,5,479.99,2399.95,C010,completed,4.7
2024-08-06,Accessories,Keyboard Mech,East,10,89.99,899.90,C011,completed,4.5
2024-08-09,Electronics,Wireless Mouse,West,18,29.99,539.82,C012,completed,4.2
2024-08-12,Software,Design Tool,North,20,39.99,799.80,C013,completed,4.6
2024-08-15,Office,Ergonomic Chair,South,3,399.99,1199.97,C014,completed,4.7
2024-08-18,Electronics,Tablet Air,East,7,649.99,4549.93,C015,completed,4.5
2024-08-21,Accessories,USB-C Hub,West,18,49.99,899.82,C016,completed,4.3
2024-08-24,Electronics,Laptop Pro,North,2,1349.99,2699.98,C017,completed,4.7
2024-08-27,Software,Cloud Suite,South,45,19.99,899.55,C018,completed,4.4
2024-08-30,Office,Standing Desk,East,3,599.99,1799.97,C019,completed,4.8
2024-09-02,Electronics,Monitor 4K,West,6,479.99,2879.94,C020,completed,4.6
2024-09-05,Accessories,Webcam HD,North,12,79.99,959.88,C001,completed,4.0
2024-09-08,Electronics,Wireless Mouse,South,15,29.99,449.85,C002,completed,4.3
2024-09-11,Office,Whiteboard,East,8,149.99,1199.92,C003,completed,4.4
2024-09-14,Software,Design Tool,West,22,39.99,879.78,C004,completed,4.5
2024-09-17,Electronics,Tablet Air,North,4,649.99,2599.96,C005,completed,4.4
2024-09-20,Accessories,Keyboard Mech,South,11,89.99,989.89,C006,completed,4.6
2024-09-23,Electronics,Laptop Pro,East,5,1399.99,6999.95,C007,completed,4.9
2024-09-26,Office,Ergonomic Chair,West,4,399.99,1599.96,C008,completed,4.8
2024-09-29,Software,Cloud Suite,North,50,19.99,999.50,C009,completed,4.7
2024-10-02,Electronics,Monitor 4K,South,7,479.99,3359.93,C010,completed,4.5
2024-10-05,Accessories,USB-C Hub,East,22,49.99,1099.78,C011,completed,4.1
2024-10-08,Electronics,Wireless Mouse,West,20,29.99,599.80,C012,completed,4.2
2024-10-11,Office,Standing Desk,North,5,599.99,2999.95,C013,completed,4.9
2024-10-14,Software,Design Tool,South,25,39.99,999.75,C014,completed,4.6
2024-10-17,Electronics,Tablet Air,East,6,649.99,3899.94,C015,completed,4.5
2024-10-20,Accessories,Webcam HD,West,14,79.99,1119.86,C016,completed,4.2
2024-10-23,Electronics,Laptop Pro,North,3,1399.99,4199.97,C017,completed,4.8
2024-10-26,Office,Whiteboard,South,10,149.99,1499.90,C018,completed,4.3
2024-10-29,Software,Cloud Suite,East,55,19.99,1099.45,C019,completed,4.8
